1,[μm/pixel]
567,756,[rows-cols]
ParticleID,Location.x,Location.y,Area,width,height,angle
0,675,559.5,16,3.3176,6.56554,90
1,675,553.732,11,3.94983,4.07349,90
2,675.395,555.835,38,6.70264,11.229,8.15086
3,654.089,551.866,14,4.03885,5.02387,10.9901
4,701.199,552.622,52.5,6.19153,11.1738,1.58382
5,721.407,552.88,12,6.29413,12.4298,2.03122
6,711.073,552.341,12,3.16227,11.1586,175.749
7,701.447,552.776,70.5,7.45,12.3576,179.092
8,691.208,553.238,18.5,7.54455,12.5617,178.779
9,655.214,417.863,38.5,27.9251,265.882,0
10,636.341,552.622,13.5,5.81507,12.3946,0.451117
11,626.073,552.341,12,3.16227,11.1586,175.749
12,302.673,531.159,26,5.22242,6.84291,179.796
13,221.512,531.295,26.5,8.12992,12.3731,89.3201
14,206.601,531.25,14,7.93347,12.7454,88.0916
15,539.755,531.407,13.5,7.01613,15.5516,15.0484
16,623,527.5,290,5.29747,100.759,90
17,182.721,529.085,71.5,8.64999,10.9373,176.546
18,525.25,528.759,54,6.24938,11.4852,178.809
19,465.142,529.026,52.5,6.30309,11.0072,176.907
20,455.091,528.889,51,6.24987,10.729,179.924
21,445.091,528.889,51,6.24987,10.729,179.924
22,194.673,526.841,26,5.22242,6.84291,0.203903
23,525.436,529.066,71,7.44897,12.4605,1.49828
24,515.031,528.639,11,3.2466,11.4141,177.368
25,465.283,529,69,8.0756,10.0635,180
26,455.283,529,69,8.0756,10.0635,180
27,445,529,64,7.23772,9.83588,0
28,430.031,528.639,11,3.24663,11.414,177.368
29,313.091,528.93,20.5,6.27485,12.5186,5.62628
30,302.973,529.294,42.5,6.36964,12.4293,0.616908
31,292.046,529.156,20,8.61502,12.1715,0.466568
32,280.239,529.235,20,8.39603,12.3004,2.08056
33,194.855,528.992,43.5,6.44069,12.2703,2.97707
34,182.926,529.143,94,9.66991,13.3863,176.556
35,169.319,528.104,29.5,11.2824,13.4673,177.046
36,99.3539,540.367,14.5,6.74602,19.628,0
37,88.558,537.234,11,6.03549,24.9025,168.847
38,78.5354,529.194,20.5,6.3546,12.678,0.507601
39,39.9952,529,15,3.34332,3.75768,180
40,31.7004,529.305,31.5,8.24848,13.4121,178.526
41,20.5604,529.299,21.5,8.2403,12.2781,178.664
42,109.449,509.329,16.5,3.72829,6.25253,41.6016
43,112.065,508.029,135.5,10.1552,19.7147,94.9571
44,21.8198,477.33,27.5,6.01509,7.74483,165.727
45,442.296,462.441,38,7.74026,9.76222,147.865
46,542.964,458.89,11.5,2.17045,8.61183,177.272
47,257.728,460.343,106,10.0706,25.4894,13.9239
48,531.447,455.753,185,13.9428,21.4197,0.429795
49,513.67,432.386,86.5,10.3031,11.107,12.4392
50,265.862,420.201,20.5,4.31088,9.11817,118.933
51,280.883,413.797,24.5,4.65878,7.42665,36.0329
52,254.26,414.965,44.5,6.32074,10.9889,105.104
53,285.838,416.045,142,12.2582,22.8519,106.812
54,268.421,407.718,23.5,4.68337,9.96041,100.71
55,245.91,406.05,31.5,5.64764,9.33557,132.817
56,439.688,410.985,121,17.9186,21.5012,32.5847
57,486.276,384.725,47,5.54644,14.2654,165.823
58,655.038,385.57,65,8.6599,21.1224,176.208
59,178.17,381.276,41.5,5.86517,12.8979,32.9085
60,315.612,380.525,84.5,7.96032,16.6341,47.7411
61,188.63,364.99,14,3.69119,5.32515,54.1992
62,670.887,375.738,208,15.0833,28.8269,161.014
63,320.669,362.853,51.5,5.26224,13.977,44.6264
64,307.665,365.023,49.5,7.39303,16.7168,17.6242
65,246.139,352.314,11,20.7752,44.9861,0
66,599.016,358.589,30.5,6.0327,9.65507,153.155
67,612.801,352.147,31,4.70207,12.523,48.8813
68,298.924,348.355,45,6.91675,14.3814,87.3694
69,329.063,348.866,293,19.81,33.2804,110.39
70,575.756,340.173,154,17.6433,18.976,114.87
71,516.209,327.195,15,3.77444,5.91096,158.116
72,442.813,325.325,106.5,12.6218,15.2513,175.482
73,293.142,322.457,44.5,7.0646,9.15552,178.547
74,185.178,344.702,392.5,15.2668,51.9077,168.993
75,231.938,313.329,87.5,12.4341,19.3684,49.8463
76,264.714,326.475,397.5,22.8575,45.685,150.961
